,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
1,Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
2,Parkwoods,43.7532586,-79.3296565,Corrosion Service Company Limited,43.75243208667859,-79.33466148402658,Construction & Landscaping
3,Victoria Village,43.725882299999995,-79.31557159999998,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
4,Victoria Village,43.725882299999995,-79.31557159999998,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
5,Victoria Village,43.725882299999995,-79.31557159999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
6,Victoria Village,43.725882299999995,-79.31557159999998,Pizza Nova,43.725823726352196,-79.31286041792907,Pizza Place
7,"Regent Park, Harbourfront",43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
8,"Regent Park, Harbourfront",43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
9,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
10,"Regent Park, Harbourfront",43.6542599,-79.3606359,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
11,"Regent Park, Harbourfront",43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
12,"Regent Park, Harbourfront",43.6542599,-79.3606359,Corktown Common,43.655617799749734,-79.3562113397429,Park
13,"Regent Park, Harbourfront",43.6542599,-79.3606359,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
14,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
15,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
16,"Regent Park, Harbourfront",43.6542599,-79.3606359,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
17,"Regent Park, Harbourfront",43.6542599,-79.3606359,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
18,"Regent Park, Harbourfront",43.6542599,-79.3606359,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
19,"Regent Park, Harbourfront",43.6542599,-79.3606359,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
20,"Regent Park, Harbourfront",43.6542599,-79.3606359,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
21,"Regent Park, Harbourfront",43.6542599,-79.3606359,Starbucks,43.651613,-79.364917,Coffee Shop
22,"Regent Park, Harbourfront",43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
23,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
24,"Regent Park, Harbourfront",43.6542599,-79.3606359,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
25,"Regent Park, Harbourfront",43.6542599,-79.3606359,Underpass Park,43.65576361726024,-79.3548059463501,Park
26,"Regent Park, Harbourfront",43.6542599,-79.3606359,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
27,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
28,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
29,"Regent Park, Harbourfront",43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
30,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
31,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
32,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
33,"Regent Park, Harbourfront",43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
34,"Regent Park, Harbourfront",43.6542599,-79.3606359,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
35,"Regent Park, Harbourfront",43.6542599,-79.3606359,Wildly Delicious Cafe,43.65043587832196,-79.3588615181307,Café
36,"Regent Park, Harbourfront",43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
37,"Regent Park, Harbourfront",43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
38,"Regent Park, Harbourfront",43.6542599,-79.3606359,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
39,"Regent Park, Harbourfront",43.6542599,-79.3606359,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
40,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Aviary,43.65363394725125,-79.35466212072043,Pub
41,"Regent Park, Harbourfront",43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
42,"Regent Park, Harbourfront",43.6542599,-79.3606359,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
43,"Regent Park, Harbourfront",43.6542599,-79.3606359,Ontario Spring Water Sake Company,43.649921646081026,-79.36007302731126,Brewery
44,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Abnormal Beauty Company,43.649892147380996,-79.3610051085219,Cosmetics Shop
45,"Regent Park, Harbourfront",43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
46,"Regent Park, Harbourfront",43.6542599,-79.3606359,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
47,"Regent Park, Harbourfront",43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
